CAS Number,Chemical Name,Chemical Analysis,Test Method,Exposure Type,Media Type,Conc 1 Type (Standardized),Conc 1 Mean (Standardized),Conc Min 1 (Standardized),Conc 1 Max (Standardized),Effect,Effect Measurement,Chemical DTXSID,log_LC50
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,35.75,31.44,41.71,Mortality,Mortality,DTXSID3021431,1.5532760461370994
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,26.0,,,Mortality,Mortality,DTXSID3021431,1.414973347970818
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,15.0,,,Mortality,Mortality,DTXSID3021431,1.1760912590556811
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,23.0,,,Mortality,Mortality,DTXSID3021431,1.3617278360175928
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,24.0,,,Mortality,Mortality,DTXSID3021431,1.380211241711606
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,14.0,,,Mortality,Mortality,DTXSID3021431,1.146128035678238
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,39.19,34.09,47.64,Mortality,Mortality,DTXSID3021431,1.593175263478103
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,14.0,,,Mortality,Mortality,DTXSID3021431,1.146128035678238
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,20.0,,,Mortality,Mortality,DTXSID3021431,1.3010299956639813
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,19.73,16.28,25.11,Mortality,Mortality,DTXSID3021431,1.2951270852521912
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,41.0,,,Mortality,Mortality,DTXSID3021431,1.6127838567197357
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,24.0,18.88,30.51,Mortality,Mortality,DTXSID3021431,1.380211241711606
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,44.0,,,Mortality,Mortality,DTXSID3021431,1.6434526764861874
108054,Vinyl acetate,Unmeasured,Not coded,Static,Fresh water,Formulation,15.0,,,Mortality,Mortality,DTXSID3021431,1.1760912590556811
108101,4-Methyl-2-pentanone,Measured,Not coded,Flow-through,Fresh water,Active ingredient,540.0,492.0,593.0,Mortality,Mortality,DTXSID5021889,2.7323937598229686
108101,4-Methyl-2-pentanone,Chemical analysis reported,American Society for Testing and Materials,Flow-through,Fresh water,Active ingredient,537.0,519.0,557.0,Mortality,Mortality,DTXSID5021889,2.7299742856995555
108101,4-Methyl-2-pentanone,Measured,Not coded,Flow-through,Fresh water,Active ingredient,505.0,496.0,514.0,Mortality,Mortality,DTXSID5021889,2.7032913781186614
108203,2-[(Propan-2-yl)oxy]propane,Chemical analysis reported,American Society for Testing and Materials,Flow-through,Fresh water,Active ingredient,900.0,881.0,920.0,Mortality,Mortality,DTXSID4021890,2.9542425094393248
108203,2-[(Propan-2-yl)oxy]propane,Measured,Not coded,Flow-through,Fresh water,Active ingredient,91.7,,,Mortality,Mortality,DTXSID4021890,1.9623693356700207
108203,2-[(Propan-2-yl)oxy]propane,Measured,Not reported,Flow-through,Fresh water,Active ingredient,786.0,,,Mortality,Mortality,DTXSID4021890,2.895422546039408
108383,"1,3-Dimethylbenzene",Measured,Not coded,Flow-through,Fresh water,Active ingredient,16.0,14.3,18.0,Mortality,Mortality,DTXSID6026298,1.2041199826559248
108394,3-Methylphenol,Unmeasured,Not coded,Flow-through,Fresh water,Formulation,55.9,,,Mortality,Mortality,DTXSID6024200,1.7474118078864234
108394,3-Methylphenol,Measured,Not coded,Flow-through,Fresh water,Active ingredient,55.9,,,Mortality,Mortality,DTXSID6024200,1.7474118078864234
108463,"1,3-Benzenediol",Measured,Not coded,Static,Fresh water,Active ingredient,56.5,48.3,66.1,Mortality,Mortality,DTXSID2021238,1.7520484478194385
108463,"1,3-Benzenediol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,100.0,,,Mortality,Mortality,DTXSID2021238,2.0
108463,"1,3-Benzenediol",Measured,United States Environmental Protection Agency,Static,Fresh water,Active ingredient,49.5,,,Mortality,Mortality,DTXSID2021238,1.6946051989335686
108463,"1,3-Benzenediol",Measured,Not coded,Static,Fresh water,Active ingredient,49.5,,,Mortality,Mortality,DTXSID2021238,1.6946051989335686
108463,"1,3-Benzenediol",Unmeasured,Not reported,Static,Fresh water,Active ingredient,40.0,,,Mortality,Mortality,DTXSID2021238,1.6020599913279625
108463,"1,3-Benzenediol",Unmeasured,Not coded,Flow-through,Fresh water,Formulation,100.0,,,Mortality,Mortality,DTXSID2021238,2.0
108463,"1,3-Benzenediol",Measured,Not reported,Static,Fresh water,Active ingredient,60.0,36.0,100.0,Mortality,Mortality,DTXSID2021238,1.7781512503836436
108861,Bromobenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,5.6,,,Mortality,Mortality,DTXSID5024637,0.7481880270062004
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,25.0,21.0,29.0,Mortality,Mortality,DTXSID7021360,1.3979400086720375
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,55.0,46.0,66.0,Mortality,Mortality,DTXSID7021360,1.740362689494244
108883,Methylbenzene,Measured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,54.0,48.8,61.2,Mortality,Mortality,DTXSID7021360,1.7323937598229686
108883,Methylbenzene,Measured,Not coded,Static,Fresh water,Active ingredient,22.1,20.5,23.8,Mortality,Mortality,DTXSID7021360,1.3443922736851108
108883,Methylbenzene,Unmeasured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,56.4,50.9,63.6,Mortality,Mortality,DTXSID7021360,1.7512791039833422
108883,Methylbenzene,Unmeasured,Not coded,Static,Fresh water,Formulation,42.33,33.52,53.47,Mortality,Mortality,DTXSID7021360,1.6266482684740102
108883,Methylbenzene,Unmeasured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,54.0,48.8,61.2,Mortality,Mortality,DTXSID7021360,1.7323937598229686
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,28.0,21.0,34.0,Mortality,Mortality,DTXSID7021360,1.4471580313422192
108883,Methylbenzene,Measured,Not reported,Flow-through,Fresh water,Active ingredient,36.2,29.4,44.6,Mortality,Mortality,DTXSID7021360,1.5587085705331658
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,31.7,,,Mortality,Mortality,DTXSID7021360,1.5010592622177514
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,26.0,21.0,33.0,Mortality,Mortality,DTXSID7021360,1.414973347970818
108883,Methylbenzene,Unmeasured,Not coded,Static,Fresh water,Formulation,34.27,22.83,45.86,Mortality,Mortality,DTXSID7021360,1.5349141044298669
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,18.0,16.0,20.0,Mortality,Mortality,DTXSID7021360,1.255272505103306
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,72.0,55.0,107.0,Mortality,Mortality,DTXSID7021360,1.8573324964312683
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,31.0,24.0,44.0,Mortality,Mortality,DTXSID7021360,1.4913616938342726
108883,Methylbenzene,Measured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,56.4,50.9,63.6,Mortality,Mortality,DTXSID7021360,1.7512791039833422
108883,Methylbenzene,Measured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,77.4,71.7,82.8,Mortality,Mortality,DTXSID7021360,1.8887409606828929
108883,Methylbenzene,Unmeasured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,77.4,71.7,82.8,Mortality,Mortality,DTXSID7021360,1.8887409606828929
108883,Methylbenzene,Not reported,USEPA and ASTM methods,Static,Fresh water,Active ingredient,77.4,71.7,82.8,Mortality,Mortality,DTXSID7021360,1.8887409606828929
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,36.0,29.0,44.0,Mortality,Mortality,DTXSID7021360,1.5563025007672873
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,59.0,51.0,68.0,Mortality,Mortality,DTXSID7021360,1.7708520116421442
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,66.0,56.0,78.0,Mortality,Mortality,DTXSID7021360,1.8195439355418688
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,30.0,23.0,42.0,Mortality,Mortality,DTXSID7021360,1.4771212547196624
108883,Methylbenzene,Unmeasured,Not coded,Static,Fresh water,Formulation,12.6,,,Mortality,Mortality,DTXSID7021360,1.100370545117563
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,36.2,29.4,44.6,Mortality,Survival,DTXSID7021360,1.5587085705331658
108883,Methylbenzene,Not reported,USEPA and ASTM methods,Static,Fresh water,Active ingredient,56.4,50.9,63.6,Mortality,Mortality,DTXSID7021360,1.7512791039833422
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,27.0,23.0,32.0,Mortality,Mortality,DTXSID7021360,1.4313637641589874
108883,Methylbenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,17.03,15.22,19.05,Mortality,Survival,DTXSID7021360,1.2312146479626012
108883,Methylbenzene,Not reported,USEPA and ASTM methods,Static,Fresh water,Active ingredient,54.0,48.8,61.2,Mortality,Mortality,DTXSID7021360,1.7323937598229686
108894,4-Methylpyridine,Measured,Not reported,Flow-through,Fresh water,Active ingredient,403.0,351.0,464.0,Mortality,Mortality,DTXSID4021892,2.6053050461411096
108907,Chlorobenzene,Measured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,22.3,19.2,26.9,Mortality,Mortality,DTXSID4020298,1.3483048630481609
108907,Chlorobenzene,Not reported,USEPA and ASTM methods,Static,Fresh water,Active ingredient,36.2,,,Mortality,Mortality,DTXSID4020298,1.5587085705331658
108907,Chlorobenzene,Measured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,22.2,19.2,26.6,Mortality,Mortality,DTXSID4020298,1.3463529744506386
108907,Chlorobenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,7.7,7.0,8.5,Mortality,Mortality,DTXSID4020298,0.8864907251724818
108907,Chlorobenzene,Unmeasured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,22.3,19.2,26.9,Mortality,Mortality,DTXSID4020298,1.3483048630481609
108907,Chlorobenzene,Unmeasured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,22.2,19.2,26.6,Mortality,Mortality,DTXSID4020298,1.3463529744506386
108907,Chlorobenzene,Unmeasured,Not coded,Static,Fresh water,Formulation,33.93,27.61,43.27,Mortality,Mortality,DTXSID4020298,1.5305838596451178
108907,Chlorobenzene,Unmeasured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,35.4,31.2,43.3,Mortality,Mortality,DTXSID4020298,1.549003262025788
108907,Chlorobenzene,Measured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,35.4,31.2,43.3,Mortality,Mortality,DTXSID4020298,1.549003262025788
108907,Chlorobenzene,Not reported,USEPA and ASTM methods,Static,Fresh water,Active ingredient,22.3,19.2,26.9,Mortality,Mortality,DTXSID4020298,1.3483048630481609
108907,Chlorobenzene,Unmeasured,Not coded,Static,Fresh water,Formulation,33.93,27.61,43.27,Mortality,Mortality,DTXSID4020298,1.5305838596451178
108907,Chlorobenzene,Not reported,USEPA and ASTM methods,Static,Fresh water,Active ingredient,34.6,,,Mortality,Mortality,DTXSID4020298,1.5390760987927767
108907,Chlorobenzene,Unmeasured,Not coded,Static,Fresh water,Formulation,29.12,23.24,38.49,Mortality,Mortality,DTXSID4020298,1.4641913706409997
108907,Chlorobenzene,Not reported,USEPA and ASTM methods,Static,Fresh water,Active ingredient,22.2,19.2,26.6,Mortality,Mortality,DTXSID4020298,1.3463529744506386
108907,Chlorobenzene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,16.9,13.8,20.6,Mortality,Mortality,DTXSID4020298,1.2278867046136734
108930,Cyclohexanol,Measured,Not coded,Flow-through,Fresh water,Active ingredient,704.0,,,Mortality,Mortality,DTXSID4021894,2.847572659142112
108930,Cyclohexanol,Unmeasured,Not coded,Static,Fresh water,Formulation,1033.0,,,Mortality,Mortality,DTXSID4021894,3.0141003215196207
108941,Cyclohexanone,Measured,Not coded,Flow-through,Fresh water,Active ingredient,630.0,,,Mortality,Mortality,DTXSID6020359,2.7993405494535817
108941,Cyclohexanone,Measured,Not coded,Flow-through,Fresh water,Active ingredient,732.0,696.0,770.0,Mortality,Mortality,DTXSID6020359,2.864511081058392
108941,Cyclohexanone,Measured,Not coded,Flow-through,Fresh water,Active ingredient,527.0,481.0,578.0,Mortality,Mortality,DTXSID6020359,2.7218106152125467
108952,Phenol,Measured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,31.2,27.2,34.6,Mortality,Mortality,DTXSID5021124,1.4941545940184429
108952,Phenol,Measured,Not coded,Flow-through,Fresh water,Total,28.0,23.0,34.0,Mortality,Mortality,DTXSID5021124,1.4471580313422192
108952,Phenol,Measured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,43.7,29.6,70.6,Mortality,Mortality,DTXSID5021124,1.640481436970422
108952,Phenol,Measured,Not coded,Flow-through,Fresh water,Total,67.5,,,Mortality,Mortality,DTXSID5021124,1.8293037728310249
108952,Phenol,Unmeasured,Not coded,Static,Fresh water,Total,34.27,22.83,45.86,Mortality,Mortality,DTXSID5021124,1.5349141044298669
108952,Phenol,Measured,Not reported,Flow-through,Fresh water,Active ingredient,49.7,42.6,57.6,Mortality,Mortality,DTXSID5021124,1.6963563887333322
108952,Phenol,Measured,Not coded,Static,Fresh water,Active ingredient,25.6,21.4,29.7,Mortality,Mortality,DTXSID5021124,1.4082399653118496
108952,Phenol,Measured,Not coded,Flow-through,Fresh water,Total,24.9,,,Mortality,Mortality,DTXSID5021124,1.3961993470957363
108952,Phenol,Measured,Not coded,Flow-through,Fresh water,Active ingredient,27.3,,,Mortality,Mortality,DTXSID5021124,1.436162647040756
108952,Phenol,Measured,Not coded,Flow-through,Fresh water,Total,36.0,,,Mortality,Mortality,DTXSID5021124,1.5563025007672873
108952,Phenol,Unmeasured,Not coded,Static,Fresh water,Total,32.0,23.78,39.87,Mortality,Mortality,DTXSID5021124,1.505149978319906
108952,Phenol,Unmeasured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,23.0,20.5,25.6,Mortality,Mortality,DTXSID5021124,1.3617278360175928
108952,Phenol,Unmeasured,Not coded,Flow-through,Fresh water,Formulation,67.5,,,Mortality,Mortality,DTXSID5021124,1.8293037728310249
108952,Phenol,Measured,Not coded,Flow-through,Fresh water,Active ingredient,24.8,23.0,26.9,Mortality,Mortality,DTXSID5021124,1.3944516808262162
108952,Phenol,Measured,Not reported,Flow-through,Fresh water,Active ingredient,28.8,23.0,36.0,Mortality,Mortality,DTXSID5021124,1.4593924877592308
108952,Phenol,Unmeasured,Not coded,Static,Fresh water,Total,32.0,,,Mortality,Mortality,DTXSID5021124,1.505149978319906
108952,Phenol,Unmeasured,Not reported,Static,Fresh water,Active ingredient,40.0,,,Mortality,Mortality,DTXSID5021124,1.6020599913279625
108952,Phenol,Unmeasured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,31.2,27.2,34.6,Mortality,Mortality,DTXSID5021124,1.4941545940184429
108952,Phenol,Measured,Not coded,Flow-through,Fresh water,Total,67.5,,,Mortality,Mortality,DTXSID5021124,1.8293037728310249
108952,Phenol,Measured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,23.0,20.5,25.6,Mortality,Mortality,DTXSID5021124,1.3617278360175928
108952,Phenol,Measured,Not coded,Flow-through,Fresh water,Active ingredient,25.3,11.9,50.5,Mortality,Mortality,DTXSID5021124,1.403120521175818
108952,Phenol,Measured,Not coded,Flow-through,Fresh water,Active ingredient,24.8,23.0,26.9,Mortality,Mortality,DTXSID5021124,1.3944516808262162
108952,Phenol,Unmeasured,Not reported,Static,Fresh water,Active ingredient,32.0,,,Mortality,Mortality,DTXSID5021124,1.505149978319906
108952,Phenol,Measured,Not coded,Flow-through,Fresh water,Total,29.0,,,Mortality,Mortality,DTXSID5021124,1.462397997898956
108952,Phenol,Unmeasured,American Society for Testing and Materials,Static,Fresh water,Active ingredient,43.7,29.6,70.6,Mortality,Mortality,DTXSID5021124,1.640481436970422
108952,Phenol,Measured,Not coded,Flow-through,Fresh water,Active ingredient,24.6,,,Mortality,Mortality,DTXSID5021124,1.390935107103379
108952,Phenol,Measured,Not coded,Flow-through,Fresh water,Total,24.0,,,Mortality,Mortality,DTXSID5021124,1.380211241711606
108952,Phenol,Measured,Not coded,Flow-through,Fresh water,Active ingredient,24.0,,,Mortality,Mortality,DTXSID5021124,1.380211241711606
108952,Phenol,Measured,Not reported,Flow-through,Fresh water,Active ingredient,32.4,28.4,37.0,Mortality,Mortality,DTXSID5021124,1.510545010206612
108996,3-Methylpyridine,Measured,Not coded,Flow-through,Fresh water,Active ingredient,144.0,131.0,160.0,Mortality,Mortality,DTXSID9021897,2.1583624920952498
109013,1-Methylpiperazine,Measured,Not reported,Flow-through,Fresh water,Active ingredient,2300.0,2070.0,2550.0,Mortality,Mortality,DTXSID4021898,3.361727836017593
109068,2-Methylpyridine,Measured,Not reported,Flow-through,Fresh water,Active ingredient,897.0,,,Mortality,Mortality,DTXSID9021899,2.952792443044092
109079,2-Methylpiperazine,Measured,Not reported,Flow-through,Fresh water,Active ingredient,2240.0,1830.0,2740.0,Mortality,Mortality,DTXSID1021900,3.3502480183341627
109217,"Butanoic acid, butyl ester",Measured,Not reported,Static,Fresh water,Active ingredient,11.6,8.9,15.5,Mortality,Mortality,DTXSID7041702,1.0644579892269184
109524,Pentanoic acid,Unmeasured,Not coded,Static,Fresh water,Formulation,77.0,,,Mortality,Mortality,DTXSID7021655,1.8864907251724816
109604,"Acetic acid, Propyl ester",Measured,Not coded,Flow-through,Fresh water,Active ingredient,60.0,56.0,64.0,Mortality,Mortality,DTXSID6021901,1.7781512503836436
109648,"1,3-Dibromopropane",Measured,Not reported,Flow-through,Fresh water,Active ingredient,1.79,1.62,1.99,Mortality,Mortality,DTXSID1021902,0.2528530309798932
109648,"1,3-Dibromopropane",Measured,Not coded,Flow-through,Fresh water,Active ingredient,2.44,2.18,2.73,Mortality,Mortality,DTXSID1021902,0.3873898263387294
109659,1-Bromobutane,Measured,Not coded,Flow-through,Fresh water,Active ingredient,36.7,,,Mortality,Mortality,DTXSID6021903,1.564666064252089
109739,Butylamine,Measured,Not coded,Flow-through,Fresh water,Active ingredient,268.0,,,Mortality,Mortality,DTXSID1021904,2.428134794028789
109739,Butylamine,Measured,Not reported,Flow-through,Fresh water,Active ingredient,268.0,,,Mortality,Mortality,DTXSID1021904,2.428134794028789
109751,3-Butenenitrile,Chemical analysis reported,American Society for Testing and Materials,Flow-through,Fresh water,Active ingredient,182.0,171.0,195.0,Mortality,Mortality,DTXSID6021905,2.2600713879850747
109751,3-Butenenitrile,Measured,Not reported,Flow-through,Fresh water,Active ingredient,182.0,171.0,195.0,Mortality,Mortality,DTXSID6021905,2.2600713879850747
109762,"1,3-Propanediamine",Measured,Not coded,Flow-through,Fresh water,Active ingredient,1190.0,1060.0,1330.0,Mortality,Mortality,DTXSID1021906,3.0755469613925306
109773,Malononitrile,Unmeasured,Not coded,Flow-through,Fresh water,Active ingredient,0.56,0.51,0.61,Mortality,Mortality,DTXSID6021907,-0.2518119729937995
109853,2-Methoxyethanamine,Measured,Not coded,Flow-through,Fresh water,Active ingredient,524.0,,,Mortality,Mortality,DTXSID1021908,2.7193312869837265
109853,2-Methoxyethanamine,Measured,Not coded,Flow-through,Fresh water,Active ingredient,524.0,,,Mortality,Mortality,DTXSID1021908,2.7193312869837265
109875,Dimethoxymethane,Measured,Not coded,Flow-through,Fresh water,Active ingredient,6990.0,6260.0,7800.0,Mortality,Mortality,DTXSID1025564,3.8444771757456815
109897,Diethylamine,Measured,Not coded,Flow-through,Fresh water,Active ingredient,855.0,,,Mortality,Mortality,DTXSID6021909,2.931966114728173
109977,Pyrrole,Measured,Not coded,Flow-through,Fresh water,Active ingredient,210.0,197.0,224.0,Mortality,Mortality,DTXSID5021910,2.322219294733919
109999,Tetrahydrofuran,Measured,Not coded,Flow-through,Fresh water,Active ingredient,2160.0,1970.0,2360.0,Mortality,Mortality,DTXSID1021328,3.3344537511509307
110009,Furan,Measured,Not coded,Flow-through,Fresh water,Active ingredient,61.0,57.0,66.0,Mortality,Mortality,DTXSID6020646,1.7853298350107671
110065,"Bis(1,1-dimethylethyl)disulfide",Measured,Not reported,Flow-through,Fresh water,Active ingredient,1.37,1.29,1.46,Mortality,Mortality,DTXSID0021913,0.1367205671564068
110123,5-Methyl-2-hexanone,Measured,Not coded,Flow-through,Fresh water,Active ingredient,159.0,,,Mortality,Mortality,DTXSID5021914,2.2013971243204518
110167,(Z)-2-Butenedioic acid,Unmeasured,Not coded,Static,Fresh water,Formulation,5.0,,,Mortality,Mortality,DTXSID8021517,0.6989700043360189
110407,"Decanedioic acid, Diethyl ester",Measured,Not coded,Flow-through,Fresh water,Active ingredient,2.7,2.49,2.92,Mortality,Mortality,DTXSID0021915,0.4313637641589873
110407,"Decanedioic acid, Diethyl ester",Measured,Not reported,Flow-through,Fresh water,Active ingredient,2.73,2.63,2.82,Mortality,Mortality,DTXSID0021915,0.436162647040756
110407,"Decanedioic acid, Diethyl ester",Measured,Not coded,Flow-through,Fresh water,Active ingredient,2.9,,,Mortality,Mortality,DTXSID0021915,0.4623979978989561
110430,2-Heptanone,Measured,Not reported,Flow-through,Fresh water,Active ingredient,131.0,126.0,137.0,Mortality,Mortality,DTXSID5021916,2.1172712956557644
110543,Hexane,Measured,Not coded,Flow-through,Fresh water,Active ingredient,2.5,2.1,2.98,Mortality,Mortality,DTXSID0021917,0.3979400086720376
110565,"1,4-Dichlorobutane",Measured,Not coded,Flow-through,Fresh water,Active ingredient,51.6,47.8,55.6,Mortality,Mortality,DTXSID5021918,1.7126497016272113
110587,1-Pentanamine,Measured,Not coded,Flow-through,Fresh water,Active ingredient,177.0,,,Mortality,Mortality,DTXSID0021919,2.247973266361807
110587,1-Pentanamine,Measured,Not reported,Flow-through,Fresh water,Active ingredient,177.0,160.0,195.0,Mortality,Mortality,DTXSID0021919,2.247973266361807
110623,Pentanal,Measured,Not reported,Flow-through,Fresh water,Active ingredient,12.4,11.3,13.6,Mortality,Mortality,DTXSID7021653,1.0934216851622351
110623,Pentanal,Unmeasured,USEPA and ASTM methods,Static,Fresh water,Formulation,42.0,,,Mortality,Mortality,DTXSID7021653,1.6232492903979006
110623,Pentanal,Measured,Not reported,Flow-through,Fresh water,Active ingredient,13.4,12.8,14.0,Mortality,Mortality,DTXSID7021653,1.1271047983648077
110656,"2-Butyne-1,4-diol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,53.6,49.3,58.3,Mortality,Mortality,DTXSID4021921,1.72916478969277
110656,"2-Butyne-1,4-diol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,53.6,49.3,58.3,Mortality,Mortality,DTXSID4021921,1.72916478969277
110736,2-(Ethylamino)ethanol,Measured,Not coded,Flow-through,Fresh water,Active ingredient,1480.0,1290.0,1700.0,Mortality,Mortality,DTXSID9021922,3.170261715394957
110827,Cyclohexane,Measured,Not coded,Flow-through,Fresh water,Active ingredient,4.53,3.96,5.18,Mortality,Mortality,DTXSID4021923,0.6560982020128319
110827,Cyclohexane,Unmeasured,Not coded,Static,Fresh water,Formulation,93.0,,,Mortality,Mortality,DTXSID4021923,1.968482948553935
110827,Cyclohexane,Unmeasured,Not coded,Static,Fresh water,Formulation,117.0,,,Mortality,Mortality,DTXSID4021923,2.0681858617461617
110827,Cyclohexane,Unmeasured,Not coded,Static,Fresh water,Formulation,32.71,23.03,42.07,Mortality,Mortality,DTXSID4021923,1.5146805441249815
110827,Cyclohexane,Unmeasured,Not coded,Static,Fresh water,Formulation,42.33,33.52,53.47,Mortality,Mortality,DTXSID4021923,1.6266482684740102
110861,Pyridine,Measured,Not coded,Static,Fresh water,Active ingredient,68.3,63.4,73.6,Mortality,Mortality,DTXSID9021924,1.8344207036815323
110861,Pyridine,Measured,Not reported,Flow-through,Fresh water,Active ingredient,106.0,,,Mortality,Mortality,DTXSID9021924,2.0253058652647704
110861,Pyridine,Measured,Not reported,Flow-through,Fresh water,Active ingredient,93.8,85.5,103.0,Mortality,Mortality,DTXSID9021924,1.9722028383790644
110861,Pyridine,Measured,Not coded,Flow-through,Fresh water,Active ingredient,99.0,,,Mortality,Mortality,DTXSID9021924,1.99563519459755
110883,"1,3,5-Trioxane",Measured,Not coded,Flow-through,Fresh water,Active ingredient,5950.0,5520.0,6420.0,Mortality,Mortality,DTXSID4021925,3.7745169657285498
110930,6-Methyl-5-hepten-2-one,Measured,Not coded,Flow-through,Fresh water,Active ingredient,85.7,83.3,88.2,Mortality,Mortality,DTXSID5021629,1.932980821923198
111137,2-Octanone,Measured,Not coded,Flow-through,Fresh water,Active ingredient,36.0,35.0,37.0,Mortality,Mortality,DTXSID4021927,1.5563025007672873
111137,2-Octanone,Chemical analysis reported,American Society for Testing and Materials,Flow-through,Fresh water,Active ingredient,35.3,33.4,37.2,Mortality,Mortality,DTXSID4021927,1.5477747053878226
111137,2-Octanone,Chemical analysis reported,American Society for Testing and Materials,Flow-through,Fresh water,Active ingredient,46.4,44.3,48.7,Mortality,Mortality,DTXSID4021927,1.6665179805548809
111137,2-Octanone,Chemical analysis reported,American Society for Testing and Materials,Flow-through,Fresh water,Active ingredient,45.9,43.5,48.4,Mortality,Mortality,DTXSID4021927,1.6618126855372612
111137,2-Octanone,Chemical analysis reported,American Society for Testing and Materials,Flow-through,Fresh water,Active ingredient,63.0,60.9,65.2,Mortality,Mortality,DTXSID4021927,1.7993405494535817
111159,"2-Ethoxyethanol, Acetate",Measured,Not reported,Flow-through,Fresh water,Active ingredient,42.1,40.7,43.6,Mortality,Mortality,DTXSID9021928,1.6242820958356683
111159,"2-Ethoxyethanol, Acetate",Measured,Not coded,Flow-through,Fresh water,Active ingredient,42.8,,,Mortality,Mortality,DTXSID9021928,1.631443769013172
111159,"2-Ethoxyethanol, Acetate",Measured,Not coded,Flow-through,Fresh water,Active ingredient,42.2,40.7,43.6,Mortality,Mortality,DTXSID9021928,1.625312450961674
111251,1-Bromohexane,Measured,Not coded,Flow-through,Fresh water,Active ingredient,3.45,,,Mortality,Mortality,DTXSID4021929,0.5378190950732742
111262,1-Hexanamine,Measured,Not reported,Flow-through,Fresh water,Active ingredient,56.6,53.8,59.6,Mortality,Mortality,DTXSID3021930,1.7528164311882717
111262,1-Hexanamine,Measured,Not coded,Flow-through,Fresh water,Active ingredient,56.6,,,Mortality,Mortality,DTXSID3021930,1.7528164311882717
111273,1-Hexanol,Measured,Not coded,Flow-through,Fresh water,Active ingredient,97.7,89.7,106.0,Mortality,Mortality,DTXSID8021931,1.989894563718773
111273,1-Hexanol,Chemical analysis reported,American Society for Testing and Materials,Flow-through,Fresh water,Active ingredient,126.0,114.0,140.0,Mortality,Mortality,DTXSID8021931,2.100370545117563
111273,1-Hexanol,Chemical analysis reported,American Society for Testing and Materials,Flow-through,Fresh water,Active ingredient,117.0,112.0,123.0,Mortality,Mortality,DTXSID8021931,2.0681858617461617
111308,Pentanedial,Not coded,United States Environmental Protection Agency,Static,Fresh water,Active ingredient,11.6,7.2,22.0,Mortality,Mortality,DTXSID6025355,1.0644579892269184
