CAS Number,Chemical Name,Chemical Grade,Chemical Analysis,Test Method,Chemical Purity Mean Op,Chemical Purity Mean(%),Chemical Purity Min(%),Chemical Purity Max(%),Species Scientific Name,Species Common Name,Organism Lifestage,Organism Age Mean Op,Organism Age Mean,Organism Age Min Op,Organism Age Min,Organism Age Max Op,Organism Age Max,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean Op (Standardized),Conc 1 Mean (Standardized),Conc 1 Min Op (Standardized),Conc Min 1 (Standardized),Conc 1 Max Op (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Conc 2 Type (Standardized),Conc 2 Mean Op (Standardized),Conc 2 Mean (Standardized),Conc Min 2 (Standardized),Conc 2 Max (Standardized),Conc 2 Units (Standardized),Effect,Effect Measurement,Endpoint,Observed Duration Mean (Days),Observed Duration Units (Days),Chemical Formulation,Chemical DTXSID,DOI,Study Type,Test Type,Result Sample Unit,BCF 1 Unit,BCF 2 Unit,Result Comment,General Comments,Author,Reference Number,Title,Source,Publication Year,Citation
67641,Propan-2-one,"Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst",Unmeasured,Not reported,,,,,Pimephales promelas,Fathead Minnow,Juvenile,,,,,,,,Static,Fresh water,Lab,5,Active ingredient,>,100.0,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID8021482,10.1002/etc.5620050908,,Acute,,--,,,,"Ewell,W.S., J.W. Gorsuch, R.O. Kringle, K.A. Robillard, and R.C. Spiegel",11951,Simultaneous Evaluation of the Acute Effects of Chemicals on Seven Aquatic Species,Environ. Toxicol. Chem.5(9): 831-840,1986,"Ewell,W.S., J.W. Gorsuch, R.O. Kringle, K.A. Robillard, and R.C. Spiegel (1986). Simultaneous Evaluation of the Acute Effects of Chemicals on Seven Aquatic Species. Environ. Toxicol. Chem., 5, (9), 831-840. doi:10.1002/etc.5620050908. ECOREF#:11951"
67641,Propan-2-one,,Measured,Not coded,,99.0,,,Pimephales promelas,Fathead Minnow,,,33.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,8120.0,,7530.0,,8760.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID8021482,,,,,--,, Affected fish lost equilibrium prior to death.            NR NA ,   Affected fish lost equilibrium prior to death.            NR NA ,"Brooke,L.T., D.J. Call, D.L. Geiger, and C.E. Northcott",12448,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Vol. 1","Center for Lake Superior Environmental Studies, University of Wisconsin-Superior, Superior, WI:414 p.",1984,"Brooke,L.T., D.J. Call, D.L. Geiger, and C.E. Northcott (1984). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Vol. 1. Center for Lake Superior Environmental Studies, University of Wisconsin-Superior, Superior, WI, 414 p. ECOREF#:12448"
67641,Propan-2-one,,Measured,Not coded,,99.0,,,Pimephales promelas,Fathead Minnow,,,32.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,6210.0,,5490.0,,7030.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID8021482,,,,,--,," Affected fish stopped schooling, swam at the surface, thenNR lost equilibrium prior to death. NA ","   Affected fish stopped schooling, swam at the surface, thenNR lost equilibrium prior to death. NA ","Brooke,L.T., D.J. Call, D.L. Geiger, and C.E. Northcott",12448,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Vol. 1","Center for Lake Superior Environmental Studies, University of Wisconsin-Superior, Superior, WI:414 p.",1984,"Brooke,L.T., D.J. Call, D.L. Geiger, and C.E. Northcott (1984). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Vol. 1. Center for Lake Superior Environmental Studies, University of Wisconsin-Superior, Superior, WI, 414 p. ECOREF#:12448"
67641,Propan-2-one,,Measured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Flow-through,Fresh water,Lab,,Active ingredient,,10700.0,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID8021482,,,,,--,,,,"Brungs,W.A.",4059,Toxic Effects on Fish of Two Dispersants Used to Introduce Organic Pesticides into Water,"Manuscr., U.S.EPA, ERL-Narragansett, RI:9 p.",1982,"Brungs,W.A. (1982). Toxic Effects on Fish of Two Dispersants Used to Introduce Organic Pesticides into Water. Manuscr., U.S.EPA, ERL-Narragansett, RI, 9 p. ECOREF#:4059"
67641,Propan-2-one,,Measured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,,,2.0,,3.0,Month(s),Flow-through,Fresh water,Lab,,Active ingredient,,9100.0,,8733.0,,9482.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID8021482,,,,,--,,,,"Cardwell,R.D., D.G. Foreman, T.R. Payne, and D.J. Wilbur",2470,Acute and Chronic Toxicity of Four Organic Chemicals to Fish,"U.S.EPA, Environ.Res.Lab., Duluth, MN; Contract 68-01-0711 (Unpublished):26 p.",1978,"Cardwell,R.D., D.G. Foreman, T.R. Payne, and D.J. Wilbur (1978). Acute and Chronic Toxicity of Four Organic Chemicals to Fish. U.S.EPA, Environ.Res.Lab., Duluth, MN; Contract 68-01-0711 (Unpublished), 26 p. ECOREF#:2470"
67663,Trichloromethane,"Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst",Measured,American Society for Testing and Materials,,,,,Pimephales promelas,Fathead Minnow,Fry,,,,10.0,,15.0,Day(s),Static,Fresh water,Lab,6-7,Active ingredient,,129.0,,91.0,,197.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID1020306,,,Acute,FY,--,, GEOMETRIC MEAN OF TWO TESTS,"TMETH/ASTM 1980, ENV. SCIENCES RESEARCH LAB 1981//   GEOMETRIC MEAN OF TWO TESTS",Dow Chemical Co.,163462,Study to Assess the Influence of Age on the Response of Fathead Minnows in Static Acute Toxicity Tests,EPA/OTS Doc.#86-870002091:32 p.,1987,"Dow Chemical Co. (1987). Study to Assess the Influence of Age on the Response of Fathead Minnows in Static Acute Toxicity Tests. EPA/OTS Doc.#86-870002091, 32 p. ECOREF#:163462"
67663,Trichloromethane,"Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst",Unmeasured,American Society for Testing and Materials,,,,,Pimephales promelas,Fathead Minnow,"Pre-, sub-, semi-, near adult, or peripubertal",,,,65.0,,94.0,Day(s),Static,Fresh water,Lab,>=8,Active ingredient,,103.0,,94.0,,113.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID1020306,10.1007/BF01607884,,Acute,,--,,,"SOURCE/LAB STOCK//CONTR/C,V//TMETH/1980, STANDARD E 729-80//MEDIA/AERATED, CARBON-FILTERED, UV IRRADIATED WATER FROM UPPER SAGINAW BAY OF LAKE HURON//   ","Mayes,M.A., H.C. Alexander, and D.C. Dill",10432,A Study to Assess the Influence of Age on the Response of Fathead Minnows in Static Acute Toxicity Tests,Bull. Environ. Contam. Toxicol.31(2): 139-147,1983,"Mayes,M.A., H.C. Alexander, and D.C. Dill (1983). A Study to Assess the Influence of Age on the Response of Fathead Minnows in Static Acute Toxicity Tests. Bull. Environ. Contam. Toxicol., 31, (2), 139-147. doi:10.1007/BF01607884. ECOREF#:10432"
67663,Trichloromethane,"Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst",Unmeasured,American Society for Testing and Materials,,,,,Pimephales promelas,Fathead Minnow,Fry,,,,10.0,,15.0,Day(s),Static,Fresh water,Lab,>=8,Active ingredient,,129.0,,91.0,,197.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID1020306,10.1007/BF01607884,,Acute,,--,,CONC1/GEOMETRIC MEAN OF 2 TESTS// ,"SOURCE/LAB STOCK//CONTR/C,V//TMETH/1980, STANDARD E 729-80//MEDIA/AERATED, CARBON-FILTERED, UV IRRADIATED WATER FROM UPPER SAGINAW BAY OF LAKE HURON//  CONC1/GEOMETRIC MEAN OF 2 TESTS// ","Mayes,M.A., H.C. Alexander, and D.C. Dill",10432,A Study to Assess the Influence of Age on the Response of Fathead Minnows in Static Acute Toxicity Tests,Bull. Environ. Contam. Toxicol.31(2): 139-147,1983,"Mayes,M.A., H.C. Alexander, and D.C. Dill (1983). A Study to Assess the Influence of Age on the Response of Fathead Minnows in Static Acute Toxicity Tests. Bull. Environ. Contam. Toxicol., 31, (2), 139-147. doi:10.1007/BF01607884. ECOREF#:10432"
67663,Trichloromethane,,Measured,Not coded,>,99.0,,,Pimephales promelas,Fathead Minnow,,,30.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,70.7,,62.8,,79.6,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID1020306,,,,,--,," Fish were exposed to 0%, 20%, 40%, 60%, 80% and 100% of the stock solution.  The test fish were hyperactive, darklyED// colored and they lost equilibrium prior to death. ","   Fish were exposed to 0%, 20%, 40%, 60%, 80% and 100% of the stock solution.  The test fish were hyperactive, darklyED// colored and they lost equilibrium prior to death. ","Geiger,D.L., L.T. Brooke, and D.J. Call",3217,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume V","Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:332 p.",1990,"Geiger,D.L., L.T. Brooke, and D.J. Call (1990). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume V. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI, 332 p. ECOREF#:3217"
67663,Trichloromethane,"Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst",Measured,American Society for Testing and Materials,,,,,Pimephales promelas,Fathead Minnow,Juvenile,,,,30.0,,35.0,Day(s),Static,Fresh water,Lab,6-7,Active ingredient,,171.0,,131.0,,214.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID1020306,,,Acute,JV,--,, GEOMETRIC MEAN OF 2 TESTS,"TMETH/ASTM 1980, ENV. SCIENCES RESEARCH LAB 1981//   GEOMETRIC MEAN OF 2 TESTS",Dow Chemical Co.,163462,Study to Assess the Influence of Age on the Response of Fathead Minnows in Static Acute Toxicity Tests,EPA/OTS Doc.#86-870002091:32 p.,1987,"Dow Chemical Co. (1987). Study to Assess the Influence of Age on the Response of Fathead Minnows in Static Acute Toxicity Tests. EPA/OTS Doc.#86-870002091, 32 p. ECOREF#:163462"
67663,Trichloromethane,"Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst",Measured,American Society for Testing and Materials,,,,,Pimephales promelas,Fathead Minnow,Subadult,,,,60.0,,100.0,Day(s),Static,Fresh water,Lab,6-7,Active ingredient,,103.0,,94.0,,113.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID1020306,,,Acute,SA,--,,,"TMETH/ASTM 1980, ENV. SCIENCES RESEARCH LAB 1981//   ",Dow Chemical Co.,163462,Study to Assess the Influence of Age on the Response of Fathead Minnows in Static Acute Toxicity Tests,EPA/OTS Doc.#86-870002091:32 p.,1987,"Dow Chemical Co. (1987). Study to Assess the Influence of Age on the Response of Fathead Minnows in Static Acute Toxicity Tests. EPA/OTS Doc.#86-870002091, 32 p. ECOREF#:163462"
67663,Trichloromethane,American chemical society grade,Measured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,1.0,,,,,Age class,Static,Fresh water,Lab,,Active ingredient,,73.09,,65.05,,82.01,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID1020306,,,,,--,,,,"Birge,W.J., J.A. Black, S.T. Ballard, and W.E. McDonnell",45758,Acute Toxicity Testing with Freshwater Fish,"EPA Contract No. 68-01-6201. NUS Corporation. Pittsburgh, Pennsylvania:47 p.",1982,"Birge,W.J., J.A. Black, S.T. Ballard, and W.E. McDonnell (1982). Acute Toxicity Testing with Freshwater Fish. EPA Contract No. 68-01-6201. NUS Corporation. Pittsburgh, Pennsylvania, 47 p. ECOREF#:45758"
67663,Trichloromethane,American chemical society grade,Measured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,1.0,,,,,Age class,Flow-through,Fresh water,Lab,,Active ingredient,,89.85,,84.7,,94.87,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID1020306,,,,,--,,,,"Birge,W.J., J.A. Black, S.T. Ballard, and W.E. McDonnell",45758,Acute Toxicity Testing with Freshwater Fish,"EPA Contract No. 68-01-6201. NUS Corporation. Pittsburgh, Pennsylvania:47 p.",1982,"Birge,W.J., J.A. Black, S.T. Ballard, and W.E. McDonnell (1982). Acute Toxicity Testing with Freshwater Fish. EPA Contract No. 68-01-6201. NUS Corporation. Pittsburgh, Pennsylvania, 47 p. ECOREF#:45758"
67663,Trichloromethane,"Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst",Unmeasured,American Society for Testing and Materials,,,,,Pimephales promelas,Fathead Minnow,Juvenile,,,,30.0,,35.0,Day(s),Static,Fresh water,Lab,>=8,Active ingredient,,171.0,,131.0,,214.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID1020306,10.1007/BF01607884,,Acute,,--,,CONC1/GEOMETRIC MEAN OF 2 TESTS// ,"SOURCE/LAB STOCK//CONTR/C,V//TMETH/1980, STANDARD E 729-80//MEDIA/AERATED, CARBON-FILTERED, UV IRRADIATED WATER FROM UPPER SAGINAW BAY OF LAKE HURON//  CONC1/GEOMETRIC MEAN OF 2 TESTS// ","Mayes,M.A., H.C. Alexander, and D.C. Dill",10432,A Study to Assess the Influence of Age on the Response of Fathead Minnows in Static Acute Toxicity Tests,Bull. Environ. Contam. Toxicol.31(2): 139-147,1983,"Mayes,M.A., H.C. Alexander, and D.C. Dill (1983). A Study to Assess the Influence of Age on the Response of Fathead Minnows in Static Acute Toxicity Tests. Bull. Environ. Contam. Toxicol., 31, (2), 139-147. doi:10.1007/BF01607884. ECOREF#:10432"
67685,Sulfinyl bis(methane),,Measured,Not coded,>,99.0,,,Pimephales promelas,Fathead Minnow,,,31.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,34000.0,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID2021735,,,,,--,,,,"Geiger,D.L., L.T. Brooke, and D.J. Call",3217,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume V","Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:332 p.",1990,"Geiger,D.L., L.T. Brooke, and D.J. Call (1990). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume V. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI, 332 p. ECOREF#:3217"
67721,"1,1,1,2,2,2-Hexachloroethane",,Not reported,Not coded,>,98.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Flow-through,Fresh water,Not reported,,Active ingredient,,1.2452524,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7020689,,,,,--,,,,"Bottger,A.",5876,Belastung der Anwohner von Chemisch-Reinigungsanlegen durch Tetrachlorethylen,vortrag:30,1988,"Bottger,A. (1988). Belastung der Anwohner von Chemisch-Reinigungsanlegen durch Tetrachlorethylen. vortrag, 30. ECOREF#:5876"
67721,"1,1,1,2,2,2-Hexachloroethane",,Measured,Not reported,,98.0,,,Pimephales promelas,Fathead Minnow,,,44.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,1.32,,1.16,,1.5,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7020689,,,Acute,,--,,,SOURCE/US EPA ENVIRONMENTAL RESEARCH LABORATORY DULUTH AND THE UNIVERSITY OF WISCONSIN SUPERIOR//MEDIA/FILTERED LAKE SUPERIOR WATER OR DECHLORINATED CITY OF SUPERIOR WISCONSIN WATER//   ,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke",12447,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II","Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:326 p.",1985,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke (1985). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI, 326 p. ECOREF#:12447"
67721,"1,1,1,2,2,2-Hexachloroethane",,Measured,Not coded,,98.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Flow-through,Fresh water,Lab,,Active ingredient,,1.1,,0.967,,1.25,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID7020689,10.1016/0043-1354(85)90351-3,,,,--,,,,"Thurston,R.V., T.A. Gilfoil, E.L. Meyn, R.K. Zajdel, T.L. Aoki, and G.D. Veith",12004,Comparative Toxicity of Ten Organic Chemicals to Ten Common Aquatic Species,Water Res.19(9): 1145-1155,1985,"Thurston,R.V., T.A. Gilfoil, E.L. Meyn, R.K. Zajdel, T.L. Aoki, and G.D. Veith (1985). Comparative Toxicity of Ten Organic Chemicals to Ten Common Aquatic Species. Water Res., 19, (9), 1145-1155. doi:10.1016/0043-1354(85)90351-3. ECOREF#:12004"
67721,"1,1,1,2,2,2-Hexachloroethane",,Measured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Flow-through,Fresh water,Lab,,Active ingredient,,1.23,,1.08,,1.4,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7020689,10.1016/0143-1471(85)90073-X,,,,--,," 16 H PHOTO, 28 LUMENS// NOT FED// CONTR/CARRIER 0 % MORT// ","   16 H PHOTO, 28 LUMENS// NOT FED// CONTR/CARRIER 0 % MORT// ","Phipps,G.L., and G.W. Holcombe",10775,A Method for Aquatic Multiple Species Toxicant Testing: Acute Toxicity of 10 Chemicals to 5 Vertebrates and 2 Invertebrates,Environ. Pollut. A.38(2): 141-157,1985,"Phipps,G.L., and G.W. Holcombe (1985). A Method for Aquatic Multiple Species Toxicant Testing: Acute Toxicity of 10 Chemicals to 5 Vertebrates and 2 Invertebrates. Environ. Pollut. A., 38, (2), 141-157. doi:10.1016/0143-1471(85)90073-X. ECOREF#:10775"
67721,"1,1,1,2,2,2-Hexachloroethane",,Measured,Not coded,,98.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Flow-through,Fresh water,Lab,,Active ingredient,,1.39,,1.08,,1.78,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID7020689,10.1016/0043-1354(85)90351-3,,,,--,,,,"Thurston,R.V., T.A. Gilfoil, E.L. Meyn, R.K. Zajdel, T.L. Aoki, and G.D. Veith",12004,Comparative Toxicity of Ten Organic Chemicals to Ten Common Aquatic Species,Water Res.19(9): 1145-1155,1985,"Thurston,R.V., T.A. Gilfoil, E.L. Meyn, R.K. Zajdel, T.L. Aoki, and G.D. Veith (1985). Comparative Toxicity of Ten Organic Chemicals to Ten Common Aquatic Species. Water Res., 19, (9), 1145-1155. doi:10.1016/0043-1354(85)90351-3. ECOREF#:12004"
67721,"1,1,1,2,2,2-Hexachloroethane",,Measured,Not reported,,,,,Pimephales promelas,Fathead Minnow,,,,,30.0,,35.0,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,1.51,,1.43,,1.58,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7020689,10.1007/BF01060748,,,,--,,,SOURCE/LABORATORY-REARED//AP FREQ/WATER CONTINUOUSLY MIXED WITH TOXICANT//MEDIA/DILUTED LABORATORY LAKE WATER SUPPLY (LAKE SUPERIOR)//   ,"Walbridge,C.T., J.T. Fiandt, G.L. Phipps, and G.W. Holcombe",11227,Acute Toxicity of Ten Chlorinated Aliphatic Hydrocarbons to the Fathead Minnow (Pimephales promelas),Arch. Environ. Contam. Toxicol.12(6): 661-666,1983,"Walbridge,C.T., J.T. Fiandt, G.L. Phipps, and G.W. Holcombe (1983). Acute Toxicity of Ten Chlorinated Aliphatic Hydrocarbons to the Fathead Minnow (Pimephales promelas). Arch. Environ. Contam. Toxicol., 12, (6), 661-666. doi:10.1007/BF01060748. ECOREF#:11227"
67721,"1,1,1,2,2,2-Hexachloroethane",,Measured,Not reported,,98.0,,,Pimephales promelas,Fathead Minnow,,,32.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,1.53,,1.46,,1.6,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7020689,,,Acute,,--,,,SOURCE/US EPA ENVIRONMENTAL RESEARCH LABORATORY DULUTH AND THE UNIVERSITY OF WISCONSIN SUPERIOR//MEDIA/FILTERED LAKE SUPERIOR WATER OR DECHLORINATED CITY OF SUPERIOR WISCONSIN WATER//   ,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke",12447,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II","Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:326 p.",1985,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke (1985). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI, 326 p. ECOREF#:12447"
68111,Mercaptoacetic acid,,Unmeasured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,,Formulation,,30.0,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID8026141,10.1016/0043-1354(69)90046-3,,,,--,,,,"Bender,M.E.",901,"The Toxicity of the Hydrolysis and Breakdown Products of Malathion to the Fathead Minnow (Pimephales promelas, Rafinesque)",Water Res.3(8): 571-582,1969,"Bender,M.E. (1969). The Toxicity of the Hydrolysis and Breakdown Products of Malathion to the Fathead Minnow (Pimephales promelas, Rafinesque). Water Res., 3, (8), 571-582. doi:10.1016/0043-1354(69)90046-3. ECOREF#:901"
68122,"N,N-Dimethylformamide",,Measured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,,,28.0,,32.0,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,10600.0,,10400.0,,10800.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID6020515,10.1007/BF01607812,,,,--,,,,"Poirier,S.H., M.L. Knuth, C.D. Anderson-Buchou, L.T. Brooke, A.R. Lima, and P.J. Shubat",11988,"Comparative Toxicity of Methanol and N,N-Dimethylformamide to Freshwater Fish and Invertebrates",Bull. Environ. Contam. Toxicol.37(4): 615-621,1986,"Poirier,S.H., M.L. Knuth, C.D. Anderson-Buchou, L.T. Brooke, A.R. Lima, and P.J. Shubat (1986). Comparative Toxicity of Methanol and N,N-Dimethylformamide to Freshwater Fish and Invertebrates. Bull. Environ. Contam. Toxicol., 37, (4), 615-621. doi:10.1007/BF01607812. ECOREF#:11988"
68122,"N,N-Dimethylformamide",,Measured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,,,2.0,,3.0,Month(s),Flow-through,Fresh water,Lab,,Active ingredient,,10410.0,,5714.0,,18967.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID6020515,,,,,--,,,,"Cardwell,R.D., D.G. Foreman, T.R. Payne, and D.J. Wilbur",2470,Acute and Chronic Toxicity of Four Organic Chemicals to Fish,"U.S.EPA, Environ.Res.Lab., Duluth, MN; Contract 68-01-0711 (Unpublished):26 p.",1978,"Cardwell,R.D., D.G. Foreman, T.R. Payne, and D.J. Wilbur (1978). Acute and Chronic Toxicity of Four Organic Chemicals to Fish. U.S.EPA, Environ.Res.Lab., Duluth, MN; Contract 68-01-0711 (Unpublished), 26 p. ECOREF#:2470"
68122,"N,N-Dimethylformamide",,Unmeasured,Not reported,,98.0,,,Pimephales promelas,Fathead Minnow,,,,,30.0,,32.0,Day(s),Flow-through,Fresh water,Lab,6,Active ingredient,,10700.0,,10500.0,,10900.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID6020515,,,,,--,,,"SOURCE/BROOD STOCK MAINTAINED BY ENVIRONMENTAL RESEARCH LABORATORY, DULUTH, MINNESOTA//MEDIA/DECHLORINATED CITY WATER//   ","Call,D.J., L.T. Brooke, N. Ahmad, and J.E. Richter",10579,Toxicity and Metabolism Studies with EPA (Environmental Protection Agency) Priority Pollutants and Related Chemicals in Freshwater Organisms,"EPA 600/3-83-095, U.S.EPA, Duluth, MN:120 p.",1983,"Call,D.J., L.T. Brooke, N. Ahmad, and J.E. Richter (1983). Toxicity and Metabolism Studies with EPA (Environmental Protection Agency) Priority Pollutants and Related Chemicals in Freshwater Organisms. EPA 600/3-83-095, U.S.EPA, Duluth, MN, 120 p. ECOREF#:10579"
68122,"N,N-Dimethylformamide",,Unmeasured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,,Formulation,,10500.0,,9300.0,,11900.0,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID6020515,,,,,--,,,,"Cardwell,R.D., D.G. Foreman, T.R. Payne, and D.J. Wilbur",2470,Acute and Chronic Toxicity of Four Organic Chemicals to Fish,"U.S.EPA, Environ.Res.Lab., Duluth, MN; Contract 68-01-0711 (Unpublished):26 p.",1978,"Cardwell,R.D., D.G. Foreman, T.R. Payne, and D.J. Wilbur (1978). Acute and Chronic Toxicity of Four Organic Chemicals to Fish. U.S.EPA, Environ.Res.Lab., Duluth, MN; Contract 68-01-0711 (Unpublished), 26 p. ECOREF#:2470"
70304,"2,2'-Methylenebis[3,4,6-trichlorophenol]",,Measured,Not coded,,99.0,,,Pimephales promelas,Fathead Minnow,,,,,28.0,,38.0,Day(s),Flow-through,Fresh water,Lab,6,Active ingredient,,0.021,,0.019,,0.023,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID6020690,,,,,--,," DNUM/6//DOSES/7/11/17/34/63 ug/L//TESTID/7//OEF/MIXTURE, ACUTE TO CHRONIC RATIO////","   DNUM/6//DOSES/7/11/17/34/63 ug/L//TESTID/7//OEF/MIXTURE, ACUTE TO CHRONIC RATIO////","Call,D.J., S.H. Poirier, C.A. Lindberg, S.L. Harting, T.P. Markee, L.T. Brooke, N. Zarvan, and C.E. Northcott",14097,Toxicity of Selected Uncoupling and Acetylcholinesterase-Inhibiting Pesticides to the Fathead Minnow (Pimephales promelas),"In: D.L.Weigmann (Ed.), Pesticides in Terrestrial and Aquatic Environments, Proc.Natl.Res.Conf., Virginia Polytechnic Inst.and State Univ., Blacksburg, VA:317-336",1989,"Call,D.J., S.H. Poirier, C.A. Lindberg, S.L. Harting, T.P. Markee, L.T. Brooke, N. Zarvan, and C.E. Northcott (1989). Toxicity of Selected Uncoupling and Acetylcholinesterase-Inhibiting Pesticides to the Fathead Minnow (Pimephales promelas). In: D.L.Weigmann (Ed.), Pesticides in Terrestrial and Aquatic Environments, Proc.Natl.Res.Conf., Virginia Polytechnic Inst.and State Univ., Blacksburg, VA, 317-336. ECOREF#:14097"
