CAS Number,Chemical Name,Chemical Grade,Chemical Analysis,Test Method,Chemical Purity Mean Op,Chemical Purity Mean(%),Chemical Purity Min(%),Chemical Purity Max(%),Species Scientific Name,Species Common Name,Organism Lifestage,Organism Age Mean Op,Organism Age Mean,Organism Age Min Op,Organism Age Min,Organism Age Max Op,Organism Age Max,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean Op (Standardized),Conc 1 Mean (Standardized),Conc 1 Min Op (Standardized),Conc Min 1 (Standardized),Conc 1 Max Op (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Conc 2 Type (Standardized),Conc 2 Mean Op (Standardized),Conc 2 Mean (Standardized),Conc Min 2 (Standardized),Conc 2 Max (Standardized),Conc 2 Units (Standardized),Effect,Effect Measurement,Endpoint,Observed Duration Mean (Days),Observed Duration Units (Days),Chemical Formulation,Chemical DTXSID,DOI,Study Type,Test Type,Result Sample Unit,BCF 1 Unit,BCF 2 Unit,Result Comment,General Comments,Author,Reference Number,Title,Source,Publication Year,Citation,log_LC50
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",,Not reported,Not coded,,99.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,,Active ingredient,,0.0132,,0.0101,,0.0173,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID4020375,,,,,--,,,,"Mayer,F.L.,Jr., and M.R. Ellersieck",6797,Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals,"USDI Fish and Wildlife Service, Publication No.160, Washington, DC:505 p.",1986,"Mayer,F.L.,Jr., and M.R. Ellersieck (1986). Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals. USDI Fish and Wildlife Service, Publication No.160, Washington, DC, 505 p. ECOREF#:6797",-1.8794260687941502
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]","Technical grade, technical product, technical formulation",Unmeasured,Not coded,,99.9,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,,Active ingredient,,0.0199,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID4020375,10.1577/1548-8659(1970)99<89:BVITSO>2.0.CO;2,,,,--,, CARRIER/ACETONE// CONTR./SOLVENT// ,   CARRIER/ACETONE// CONTR./SOLVENT// ,"Macek,K.J., and H.O. Sanders",2011,Biological Variation in the Susceptibility of Fish and Aquatic Invertebrates to DDT,Trans. Am. Fish. Soc.99(1): 89-90,1970,"Macek,K.J., and H.O. Sanders (1970). Biological Variation in the Susceptibility of Fish and Aquatic Invertebrates to DDT. Trans. Am. Fish. Soc., 99, (1), 89-90. doi:10.1577/1548-8659(1970)99<89:BVITSO>2.0.CO;2. ECOREF#:2011",-1.7011469235902934
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Reference Standard,Unmeasured,Not coded,,100.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,,Active ingredient,,0.026,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID4020375,10.1577/1548-8659(1959)88[23:RTOTCH]2.0.CO;2,,,,--,," O EFCT CONT/SWELLING, LIGHT COLORATION//HARD,ALK,DO,PH/ DILUTION WATER// ","   O EFCT CONT/SWELLING, LIGHT COLORATION//HARD,ALK,DO,PH/ DILUTION WATER// ","Henderson,C., Q.H. Pickering, and C.M. Tarzwell",878,Relative Toxicity of Ten Chlorinated Hydrocarbon Insecticides to Four Species of Fish,Trans. Am. Fish. Soc.88(1): 23-32,1959,"Henderson,C., Q.H. Pickering, and C.M. Tarzwell (1959). Relative Toxicity of Ten Chlorinated Hydrocarbon Insecticides to Four Species of Fish. Trans. Am. Fish. Soc., 88, (1), 23-32. doi:10.1577/1548-8659(1959)88[23:RTOTCH]2.0.CO;2. ECOREF#:878",-1.585026652029182
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Reference Standard,Unmeasured,Not coded,,100.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,,Active ingredient,,0.026,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID4020375,10.1577/1548-8659(1959)88[23:RTOTCH]2.0.CO;2,,,,--,," O EFCT CONT/SWELLING, LIGHT COLORATION//HARD,ALK,DO,PH/ DILUTION WATER//CODE/95 % DIST WATER, 5 % SPRING WATER// ","   O EFCT CONT/SWELLING, LIGHT COLORATION//HARD,ALK,DO,PH/ DILUTION WATER//CODE/95 % DIST WATER, 5 % SPRING WATER// ","Henderson,C., Q.H. Pickering, and C.M. Tarzwell",878,Relative Toxicity of Ten Chlorinated Hydrocarbon Insecticides to Four Species of Fish,Trans. Am. Fish. Soc.88(1): 23-32,1959,"Henderson,C., Q.H. Pickering, and C.M. Tarzwell (1959). Relative Toxicity of Ten Chlorinated Hydrocarbon Insecticides to Four Species of Fish. Trans. Am. Fish. Soc., 88, (1), 23-32. doi:10.1577/1548-8659(1959)88[23:RTOTCH]2.0.CO;2. ECOREF#:878",-1.585026652029182
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",,Not reported,Not coded,,99.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,,Active ingredient,,0.0124,,0.01,,0.0154,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID4020375,,,,,--,,,,"Mayer,F.L.,Jr., and M.R. Ellersieck",6797,Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals,"USDI Fish and Wildlife Service, Publication No.160, Washington, DC:505 p.",1986,"Mayer,F.L.,Jr., and M.R. Ellersieck (1986). Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals. USDI Fish and Wildlife Service, Publication No.160, Washington, DC, 505 p. ECOREF#:6797",-1.9065783148377649
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Analytical grade,Unmeasured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,,Active ingredient,,0.058,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID4020375,,,,,--,,,,"Priester,L.E.,Jr.",14649,"The Accumulation and Metabolism of DDT, Parathion, and Endrin by Aquatic Food-Chain Organisms","Ph.D. Thesis, Clemson University, Clemson, SC:74 p.",1965,"Priester,L.E.,Jr. (1965). The Accumulation and Metabolism of DDT, Parathion, and Endrin by Aquatic Food-Chain Organisms. Ph.D. Thesis, Clemson University, Clemson, SC, 74 p. ECOREF#:14649",-1.2365720064370627
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",,Not reported,Not coded,,99.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Flow-through,Fresh water,Lab,,Active ingredient,,0.0099,,0.0065,,0.015,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID4020375,,,,,--,,,,"Mayer,F.L.,Jr., and M.R. Ellersieck",6797,Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals,"USDI Fish and Wildlife Service, Publication No.160, Washington, DC:505 p.",1986,"Mayer,F.L.,Jr., and M.R. Ellersieck (1986). Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals. USDI Fish and Wildlife Service, Publication No.160, Washington, DC, 505 p. ECOREF#:6797",-2.00436480540245
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",,Measured,Not coded,,99.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Flow-through,Fresh water,Lab,,Active ingredient,,0.0176,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID4020375,10.1016/0043-1354(69)90040-2,,,,--,,,,"Solon,J.M., J.L. Lincer, and J.H. Nair III",2100,The Effect of Sublethal Concentration of LAS on the Acute Toxicity of Various Insecticides to the Fathead Minnow (Pimephales promelas Rafinesque),Water Res.3(10): 767-775,1969,"Solon,J.M., J.L. Lincer, and J.H. Nair III (1969). The Effect of Sublethal Concentration of LAS on the Acute Toxicity of Various Insecticides to the Fathead Minnow (Pimephales promelas Rafinesque). Water Res., 3, (10), 767-775. doi:10.1016/0043-1354(69)90040-2. ECOREF#:2100",-1.75448733218585
50317,"2,3,6-Trichlorobenzoic acid",,Not reported,Not coded,,53.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,,Active ingredient,,8.5,,6.8,,10.5,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID6040296,,,,,--,,,,"Mayer,F.L.,Jr., and M.R. Ellersieck",6797,Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals,"USDI Fish and Wildlife Service, Publication No.160, Washington, DC:505 p.",1986,"Mayer,F.L.,Jr., and M.R. Ellersieck (1986). Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals. USDI Fish and Wildlife Service, Publication No.160, Washington, DC, 505 p. ECOREF#:6797",0.9294189257142927
51036,"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole",,Unmeasured,Not reported,,93.7,,,Pimephales promelas,Fathead Minnow,Adult,,,,,,,,"Aquatic, unspecified",Fresh water,Lab,6,Active ingredient,,12.9,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Liquid,DTXSID1021166,,,,,--,,,SOURCE/NR//MEDIA/NR//   ,"Fort,D.",195530,Piperonyl Butoxide: 21-D Fish Reproduction Assay,"Project Number: 48687701/OCR, PBTF01/00257. Unpublished study prepared by Fort Environmental Laboratories, Inc., Golden Pacific Laboratories, LLC (GPL) and Experimental Pathology Laboratories:286 p.",2012,"Fort,D. (2012). Piperonyl Butoxide: 21-D Fish Reproduction Assay. Project Number: 48687701/OCR, PBTF01/00257. Unpublished study prepared by Fort Environmental Laboratories, Inc., Golden Pacific Laboratories, LLC (GPL) and Experimental Pathology Laboratories, 286 p. ECOREF#:195530",1.110589710299249
