CAS Number,Chemical Name,Chemical Grade,Chemical Analysis,Test Method,Chemical Purity Mean Op,Chemical Purity Mean(%),Chemical Purity Min(%),Chemical Purity Max(%),Species Scientific Name,Species Common Name,Organism Lifestage,Organism Age Mean Op,Organism Age Mean,Organism Age Min Op,Organism Age Min,Organism Age Max Op,Organism Age Max,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean Op (Standardized),Conc 1 Mean (Standardized),Conc 1 Min Op (Standardized),Conc Min 1 (Standardized),Conc 1 Max Op (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Conc 2 Type (Standardized),Conc 2 Mean Op (Standardized),Conc 2 Mean (Standardized),Conc Min 2 (Standardized),Conc 2 Max (Standardized),Conc 2 Units (Standardized),Effect,Effect Measurement,Endpoint,Observed Duration Mean (Days),Observed Duration Units (Days),Chemical Formulation,Chemical DTXSID,DOI,Study Type,Test Type,Result Sample Unit,BCF 1 Unit,BCF 2 Unit,Result Comment,General Comments,Author,Reference Number,Title,Source,Publication Year,Citation,log_LC50
87683,"1,1,2,3,4,4-Hexachloro-1,3-butadiene",,Measured,Not coded,,98.0,,,Pimephales promelas,Fathead Minnow,,,30.0,,,,,Day(s),Static,Fresh water,Lab,,Active ingredient,,0.205,,0.166,,0.253,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID7020683,,,,,--,,,,"Brooke,L.",14339,Report of the Flow-Through and Static Acute Test Comparisons with Fathead Minnows and Acute Tests with an Amphipod and a Cladoceran,"Memo to L.Larson, Center for Lake Superior Environmental Studies dated August 31:24 p.",1987,"Brooke,L. (1987). Report of the Flow-Through and Static Acute Test Comparisons with Fathead Minnows and Acute Tests with an Amphipod and a Cladoceran. Memo to L.Larson, Center for Lake Superior Environmental Studies dated August 31, 24 p. ECOREF#:14339",-0.6882461389442457
87683,"1,1,2,3,4,4-Hexachloro-1,3-butadiene",,Measured,Not reported,,98.0,,,Pimephales promelas,Fathead Minnow,,,31.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.09,,0.09,,0.1,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7020683,,,Acute,,--,,,SOURCE/US EPA ENVIRONMENTAL RESEARCH LABORATORY DULUTH AND THE UNIVERSITY OF WISCONSIN SUPERIOR//MEDIA/FILTERED LAKE SUPERIOR WATER OR DECHLORINATED CITY OF SUPERIOR WISCONSIN WATER//   ,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke",12447,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II","Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:326 p.",1985,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke (1985). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI, 326 p. ECOREF#:12447",-1.0457574905606752
87683,"1,1,2,3,4,4-Hexachloro-1,3-butadiene",,Measured,Not reported,,,,,Pimephales promelas,Fathead Minnow,,,,,30.0,,35.0,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.1,,0.09,,0.11,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7020683,10.1007/BF01060748,,,,--,,,SOURCE/LABORATORY-REARED//AP FREQ/WATER CONTINUOUSLY MIXED WITH TOXICANT//MEDIA/DILUTED LABORATORY LAKE WATER SUPPLY (LAKE SUPERIOR)//   ,"Walbridge,C.T., J.T. Fiandt, G.L. Phipps, and G.W. Holcombe",11227,Acute Toxicity of Ten Chlorinated Aliphatic Hydrocarbons to the Fathead Minnow (Pimephales promelas),Arch. Environ. Contam. Toxicol.12(6): 661-666,1983,"Walbridge,C.T., J.T. Fiandt, G.L. Phipps, and G.W. Holcombe (1983). Acute Toxicity of Ten Chlorinated Aliphatic Hydrocarbons to the Fathead Minnow (Pimephales promelas). Arch. Environ. Contam. Toxicol., 12, (6), 661-666. doi:10.1007/BF01060748. ECOREF#:11227",-1.0
87729,L-Arabinopyranose,,Measured,Not coded,>,99.0,,,Pimephales promelas,Fathead Minnow,,,31.0,,,,,Day(s),Static,Fresh water,Lab,,Active ingredient,,37700.0,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID5052836,,,,,--,,,,"Geiger,D.L., L.T. Brooke, and D.J. Call",3217,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume V","Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:332 p.",1990,"Geiger,D.L., L.T. Brooke, and D.J. Call (1990). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume V. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI, 332 p. ECOREF#:3217",4.576341350205793
87865,"2,3,4,5,6-Pentachlorophenol",,Unmeasured,Not coded,,99.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,8,Active ingredient,,0.28,,0.16,,0.48,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Active ingredient,DTXSID7021106,,,,,--,," CONTR/C,V//TESTID/15//MSMT/NR//DOSES/NR//SOURCE/GOV//WTINT/0.40 G//DNUM/8//SEX/NR//TMETH/EPAASTM//STYPE/ACUTE//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//","SOURCE/GOVERNMENT AGENCY//   CONTR/C,V//TESTID/15//MSMT/NR//DOSES/NR//SOURCE/GOV//WTINT/0.40 G//DNUM/8//SEX/NR//TMETH/EPAASTM//STYPE/ACUTE//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//","Dwyer,F.J., L.C. Sappington, D.R. Buckler, and S.B. Jones",73668,Use of Surrogate Species in Assessing Contaminant Risk to Endangered and Threatened Fishes,"EPA/600/R-96/029, U.S.EPA, Washington, DC:78 p.",1995,"Dwyer,F.J., L.C. Sappington, D.R. Buckler, and S.B. Jones (1995). Use of Surrogate Species in Assessing Contaminant Risk to Endangered and Threatened Fishes. EPA/600/R-96/029, U.S.EPA, Washington, DC, 78 p. ECOREF#:73668",-0.5528419686577808
87865,"2,3,4,5,6-Pentachlorophenol","Technical grade, technical product, technical formulation",Measured,Not coded,,88.0,,,Pimephales promelas,Fathead Minnow,Juvenile,,30.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.378,,0.307,,0.464,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID7021106,10.1002/etc.5620040314,,,,--,,,,"Spehar,R.L., H.P. Nelson, M.J. Swanson, and J.W. Renoos",10679,Pentachlorophenol Toxicity to Amphipods and Fathead Minnows at Different Test pH Values,Environ. Toxicol. Chem.4:389-397,1985,"Spehar,R.L., H.P. Nelson, M.J. Swanson, and J.W. Renoos (1985). Pentachlorophenol Toxicity to Amphipods and Fathead Minnows at Different Test pH Values. Environ. Toxicol. Chem., 4, 389-397. doi:10.1002/etc.5620040314. ECOREF#:10679",-0.4225082001627747
87865,"2,3,4,5,6-Pentachlorophenol",,Measured,Not reported,,,,,Pimephales promelas,Fathead Minnow,,,31.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.24,,0.23,,0.25,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7021106,,,Acute,,--,,,SOURCE/US EPA ENVIRONMENTAL RESEARCH LABORATORY DULUTH AND THE UNIVERSITY OF WISCONSIN SUPERIOR//MEDIA/FILTERED LAKE SUPERIOR WATER OR DECHLORINATED CITY OF SUPERIOR WISCONSIN WATER//   ,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke",12447,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II","Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:326 p.",1985,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke (1985). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI, 326 p. ECOREF#:12447",-0.619788758288394
87865,"2,3,4,5,6-Pentachlorophenol",,Measured,Not coded,,,,,Pimephales promelas,Fathead Minnow,Adult,,,,,,,,Flow-through,Fresh water,Lab,,Active ingredient,,0.12,,0.1,,0.15,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7021106,10.1002/etc.5620050605,,,,--,,,,"Hedtke,S.F., C.W. West, K.N. Allen, T.J. Norberg-King, and D.I. Mount",11958,Toxicity of Pentachlorophenol to Aquatic Organisms Under Naturally Varying and Controlled Environmental Conditions,Environ. Toxicol. Chem.5(6): 531-542,1986,"Hedtke,S.F., C.W. West, K.N. Allen, T.J. Norberg-King, and D.I. Mount (1986). Toxicity of Pentachlorophenol to Aquatic Organisms Under Naturally Varying and Controlled Environmental Conditions. Environ. Toxicol. Chem., 5, (6), 531-542. doi:10.1002/etc.5620050605. ECOREF#:11958",-0.9208187539523752
87865,"2,3,4,5,6-Pentachlorophenol",,Unmeasured,Not coded,,99.0,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,8,Active ingredient,,0.27,,0.24,,0.31,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Active ingredient,DTXSID7021106,,,,,--,," CONTR/C,V//TESTID/12//MSMT/NR//DOSES/NR//SOURCE/GOV//WTINT/0.32 G//DNUM/8//SEX/NR//TMETH/EPAASTM//STYPE/ACUTE//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//","SOURCE/GOVERNMENT AGENCY//   CONTR/C,V//TESTID/12//MSMT/NR//DOSES/NR//SOURCE/GOV//WTINT/0.32 G//DNUM/8//SEX/NR//TMETH/EPAASTM//STYPE/ACUTE//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//","Dwyer,F.J., L.C. Sappington, D.R. Buckler, and S.B. Jones",73668,Use of Surrogate Species in Assessing Contaminant Risk to Endangered and Threatened Fishes,"EPA/600/R-96/029, U.S.EPA, Washington, DC:78 p.",1995,"Dwyer,F.J., L.C. Sappington, D.R. Buckler, and S.B. Jones (1995). Use of Surrogate Species in Assessing Contaminant Risk to Endangered and Threatened Fishes. EPA/600/R-96/029, U.S.EPA, Washington, DC, 78 p. ECOREF#:73668",-0.5686362358410126
87865,"2,3,4,5,6-Pentachlorophenol","Technical grade, technical product, technical formulation",Measured,Not coded,,88.0,,,Pimephales promelas,Fathead Minnow,Juvenile,,30.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.218,,0.169,,0.28,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID7021106,10.1002/etc.5620040314,,,,--,,,,"Spehar,R.L., H.P. Nelson, M.J. Swanson, and J.W. Renoos",10679,Pentachlorophenol Toxicity to Amphipods and Fathead Minnows at Different Test pH Values,Environ. Toxicol. Chem.4:389-397,1985,"Spehar,R.L., H.P. Nelson, M.J. Swanson, and J.W. Renoos (1985). Pentachlorophenol Toxicity to Amphipods and Fathead Minnows at Different Test pH Values. Environ. Toxicol. Chem., 4, 389-397. doi:10.1002/etc.5620040314. ECOREF#:10679",-0.6615435063953952
87865,"2,3,4,5,6-Pentachlorophenol",,Measured,Not coded,,,,,Pimephales promelas,Fathead Minnow,Adult,,,,,,,,Flow-through,Fresh water,Lab,,Active ingredient,,0.17,,0.15,,0.2,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7021106,10.1002/etc.5620050605,,,,--,,,,"Hedtke,S.F., C.W. West, K.N. Allen, T.J. Norberg-King, and D.I. Mount",11958,Toxicity of Pentachlorophenol to Aquatic Organisms Under Naturally Varying and Controlled Environmental Conditions,Environ. Toxicol. Chem.5(6): 531-542,1986,"Hedtke,S.F., C.W. West, K.N. Allen, T.J. Norberg-King, and D.I. Mount (1986). Toxicity of Pentachlorophenol to Aquatic Organisms Under Naturally Varying and Controlled Environmental Conditions. Environ. Toxicol. Chem., 5, (6), 531-542. doi:10.1002/etc.5620050605. ECOREF#:11958",-0.769551078621726
87865,"2,3,4,5,6-Pentachlorophenol",,Measured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Flow-through,Fresh water,Lab,,Active ingredient,,0.286,,0.179,,0.345,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7021106,10.1016/0143-1471(85)90073-X,,,,--,,,,"Phipps,G.L., and G.W. Holcombe",10775,A Method for Aquatic Multiple Species Toxicant Testing: Acute Toxicity of 10 Chemicals to 5 Vertebrates and 2 Invertebrates,Environ. Pollut. A.38(2): 141-157,1985,"Phipps,G.L., and G.W. Holcombe (1985). A Method for Aquatic Multiple Species Toxicant Testing: Acute Toxicity of 10 Chemicals to 5 Vertebrates and 2 Invertebrates. Environ. Pollut. A., 38, (2), 141-157. doi:10.1016/0143-1471(85)90073-X. ECOREF#:10775",-0.543633966870957
87865,"2,3,4,5,6-Pentachlorophenol",,Unmeasured,American Society for Testing and Materials,,,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Static,Fresh water,Lab,,Formulation,,0.04,,0.038,,0.043,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7021106,,,Acute,,--,,CONC1/ADJUSTED TO pH 6.5// ,"CONTR/C,V//  CONC1/ADJUSTED TO pH 6.5// ","Mayer,F.L., D.R. Buckler, F.J. Dwyer, M.R. Ellersieck, L.C. Sappington, J.M. Besser, and C.M. Bridges",153255,Endangered Aquatic Vertebrates: Comparative and Probabilistic-Based Toxicology,"EPA/600/R-08/045, U.S.EPA, Washington, DC:43 p.",2008,"Mayer,F.L., D.R. Buckler, F.J. Dwyer, M.R. Ellersieck, L.C. Sappington, J.M. Besser, and C.M. Bridges (2008). Endangered Aquatic Vertebrates: Comparative and Probabilistic-Based Toxicology. EPA/600/R-08/045, U.S.EPA, Washington, DC, 43 p. ECOREF#:153255",-1.3979400086720375
87865,"2,3,4,5,6-Pentachlorophenol",,Unmeasured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,,,,,,,"Aquatic, unspecified",Fresh water,Lab,,Formulation,,0.27,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7021106,,,,,--,, TESTID/148//MSMT/NR//DOSES/NR//SOURCE/NR//WTINT/NR//DNUM/NR//SEX/NR//TMETH/NR//STYPE/NR//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//,   TESTID/148//MSMT/NR//DOSES/NR//SOURCE/NR//WTINT/NR//DNUM/NR//SEX/NR//TMETH/NR//STYPE/NR//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//,"Dwyer,F.J., L.C. Sappington, D.R. Buckler, and S.B. Jones",73668,Use of Surrogate Species in Assessing Contaminant Risk to Endangered and Threatened Fishes,"EPA/600/R-96/029, U.S.EPA, Washington, DC:78 p.",1995,"Dwyer,F.J., L.C. Sappington, D.R. Buckler, and S.B. Jones (1995). Use of Surrogate Species in Assessing Contaminant Risk to Endangered and Threatened Fishes. EPA/600/R-96/029, U.S.EPA, Washington, DC, 78 p. ECOREF#:73668",-0.5686362358410126
87865,"2,3,4,5,6-Pentachlorophenol",,Measured,Not reported,,88.0,,,Pimephales promelas,Fathead Minnow,,,44.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.237,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7021106,,,Acute,,--,,,SOURCE/US EPA ENVIRONMENTAL RESEARCH LABORATORY DULUTH AND THE UNIVERSITY OF WISCONSIN SUPERIOR//MEDIA/FILTERED LAKE SUPERIOR WATER OR DECHLORINATED CITY OF SUPERIOR WISCONSIN WATER//   ,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke",12447,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II","Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:326 p.",1985,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke (1985). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI, 326 p. ECOREF#:12447",-0.6252516539898961
87865,"2,3,4,5,6-Pentachlorophenol","Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst",Unmeasured,Not reported,,,,,Pimephales promelas,Fathead Minnow,Juvenile,,,,,,,,Static,Fresh water,Lab,5,Active ingredient,,0.32,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7021106,10.1002/etc.5620050908,,Acute,,--,,,,"Ewell,W.S., J.W. Gorsuch, R.O. Kringle, K.A. Robillard, and R.C. Spiegel",11951,Simultaneous Evaluation of the Acute Effects of Chemicals on Seven Aquatic Species,Environ. Toxicol. Chem.5(9): 831-840,1986,"Ewell,W.S., J.W. Gorsuch, R.O. Kringle, K.A. Robillard, and R.C. Spiegel (1986). Simultaneous Evaluation of the Acute Effects of Chemicals on Seven Aquatic Species. Environ. Toxicol. Chem., 5, (9), 831-840. doi:10.1002/etc.5620050908. ECOREF#:11951",-0.494850021680094
87865,"2,3,4,5,6-Pentachlorophenol",,Measured,Not reported,,88.0,,,Pimephales promelas,Fathead Minnow,,,44.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.301,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7021106,,,Acute,,--,,,SOURCE/US EPA ENVIRONMENTAL RESEARCH LABORATORY DULUTH AND THE UNIVERSITY OF WISCONSIN SUPERIOR//MEDIA/FILTERED LAKE SUPERIOR WATER OR DECHLORINATED CITY OF SUPERIOR WISCONSIN WATER//   ,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke",12447,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II","Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:326 p.",1985,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke (1985). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI, 326 p. ECOREF#:12447",-0.5214335044061567
87865,"2,3,4,5,6-Pentachlorophenol",,Measured,Not coded,>=,95.0,,,Pimephales promelas,Fathead Minnow,Juvenile,,,,26.0,,34.0,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.564,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID7021106,10.1002/etc.5620140920,,,,--,,,,"Broderius,S.J., M.D. Kahl, and M.D. Hoglund",15031,Use of Joint Toxic Response to Define the Primary Mode of Toxic Action for Diverse Industrial Organic Chemicals,Environ. Toxicol. Chem.14(9): 1591-1605,1995,"Broderius,S.J., M.D. Kahl, and M.D. Hoglund (1995). Use of Joint Toxic Response to Define the Primary Mode of Toxic Action for Diverse Industrial Organic Chemicals. Environ. Toxicol. Chem., 14, (9), 1591-1605. doi:10.1002/etc.5620140920. ECOREF#:15031",-0.24872089601665776
87865,"2,3,4,5,6-Pentachlorophenol","Technical grade, technical product, technical formulation",Measured,Not coded,,88.0,,,Pimephales promelas,Fathead Minnow,Juvenile,,30.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.095,,0.077,,0.116,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID7021106,10.1002/etc.5620040314,,,,--,,,,"Spehar,R.L., H.P. Nelson, M.J. Swanson, and J.W. Renoos",10679,Pentachlorophenol Toxicity to Amphipods and Fathead Minnows at Different Test pH Values,Environ. Toxicol. Chem.4:389-397,1985,"Spehar,R.L., H.P. Nelson, M.J. Swanson, and J.W. Renoos (1985). Pentachlorophenol Toxicity to Amphipods and Fathead Minnows at Different Test pH Values. Environ. Toxicol. Chem., 4, 389-397. doi:10.1002/etc.5620040314. ECOREF#:10679",-1.0222763947111522
87865,"2,3,4,5,6-Pentachlorophenol",,Measured,Not coded,,,,,Pimephales promelas,Fathead Minnow,Juvenile,,,,26.0,,30.0,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.51,,0.43,,0.61,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7021106,10.1002/etc.5620050605,,,,--,,,,"Hedtke,S.F., C.W. West, K.N. Allen, T.J. Norberg-King, and D.I. Mount",11958,Toxicity of Pentachlorophenol to Aquatic Organisms Under Naturally Varying and Controlled Environmental Conditions,Environ. Toxicol. Chem.5(6): 531-542,1986,"Hedtke,S.F., C.W. West, K.N. Allen, T.J. Norberg-King, and D.I. Mount (1986). Toxicity of Pentachlorophenol to Aquatic Organisms Under Naturally Varying and Controlled Environmental Conditions. Environ. Toxicol. Chem., 5, (6), 531-542. doi:10.1002/etc.5620050605. ECOREF#:11958",-0.2924298239020636
87865,"2,3,4,5,6-Pentachlorophenol",,Measured,Not reported,,99.0,,,Pimephales promelas,Fathead Minnow,,,32.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.35,,0.31,,0.39,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7021106,,,Acute,,--,,,SOURCE/US EPA ENVIRONMENTAL RESEARCH LABORATORY DULUTH AND THE UNIVERSITY OF WISCONSIN SUPERIOR//MEDIA/FILTERED LAKE SUPERIOR WATER OR DECHLORINATED CITY OF SUPERIOR WISCONSIN WATER//   ,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke",12447,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II","Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:326 p.",1985,"Geiger,D.L., C.E. Northcott, D.J. Call, and L.T. Brooke (1985). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume II. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI, 326 p. ECOREF#:12447",-0.4559319556497244
87865,"2,3,4,5,6-Pentachlorophenol",,Measured,Not coded,,99.0,,,Pimephales promelas,Fathead Minnow,,,40.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.47,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Purified,DTXSID7021106,,,,,--,," CARRIER/ACETONE < 0.05 ML/L// CONTR/SOLV// HARD,ALK,PH/ DILUTION WATER// CONC/NOM CONC RPTD// ","   CARRIER/ACETONE < 0.05 ML/L// CONTR/SOLV// HARD,ALK,PH/ DILUTION WATER// CONC/NOM CONC RPTD// ","Cleveland,L., D.R. Buckler, F.L. Mayer, and D.R. Branson",15155,Toxicity of Three Preparations of Pentachlorophenol to Fathead Minnows - a Comparative Study,Environ. Toxicol. Chem.1(3): 205-212,1982,"Cleveland,L., D.R. Buckler, F.L. Mayer, and D.R. Branson (1982). Toxicity of Three Preparations of Pentachlorophenol to Fathead Minnows - a Comparative Study. Environ. Toxicol. Chem., 1, (3), 205-212. ECOREF#:15155",-0.3279021420642826
87865,"2,3,4,5,6-Pentachlorophenol",,Measured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,,,30.0,,35.0,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.22,,0.21,,0.23,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7021106,10.1007/BF01622141,,,,--,, CONTR/FOLLOWED EPA STANDARD METHODS// NAOH ADDED TO STOCK BOTTLE// ,   CONTR/FOLLOWED EPA STANDARD METHODS// NAOH ADDED TO STOCK BOTTLE// ,"Phipps,G.L., G.W. Holcombe, and J.T. Fiandt",2189,Acute Toxicity of Phenol and Substituted Phenols to the Fathead Minnow,Bull. Environ. Contam. Toxicol.26(5): 585-593,1981,"Phipps,G.L., G.W. Holcombe, and J.T. Fiandt (1981). Acute Toxicity of Phenol and Substituted Phenols to the Fathead Minnow. Bull. Environ. Contam. Toxicol., 26, (5), 585-593. doi:10.1007/BF01622141. ECOREF#:2189",-0.6575773191777937
87865,"2,3,4,5,6-Pentachlorophenol",,Measured,Not coded,,,,,Pimephales promelas,Fathead Minnow,,,,,,,,,Flow-through,Fresh water,Lab,,Active ingredient,,0.233,,,,,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),,DTXSID7021106,10.1016/0143-1471(85)90073-X,,,,--,,,,"Phipps,G.L., and G.W. Holcombe",10775,A Method for Aquatic Multiple Species Toxicant Testing: Acute Toxicity of 10 Chemicals to 5 Vertebrates and 2 Invertebrates,Environ. Pollut. A.38(2): 141-157,1985,"Phipps,G.L., and G.W. Holcombe (1985). A Method for Aquatic Multiple Species Toxicant Testing: Acute Toxicity of 10 Chemicals to 5 Vertebrates and 2 Invertebrates. Environ. Pollut. A., 38, (2), 141-157. doi:10.1016/0143-1471(85)90073-X. ECOREF#:10775",-0.632644078973981
87865,"2,3,4,5,6-Pentachlorophenol",,Measured,Not coded,,88.0,,,Pimephales promelas,Fathead Minnow,,,30.0,,,,,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,0.222,,0.173,,0.286,AI mg/L,,,,,,,Mortality,Mortality,LC50,4,Day(s),Pure,DTXSID7021106,,,,,--,, The pH of the test water was approximately 7.5.  Individual lengths and weights of the test fish were not recorded.  No effect or behavioral data were recorded.  The diluter stock solutions were prepared from superstock solutions containing ,   The pH of the test water was approximately 7.5.  Individual lengths and weights of the test fish were not recorded.  No effect or behavioral data were recorded.  The diluter stock solutions were prepared from superstock solutions containing ,"Geiger,D.L., L.T. Brooke, and D.J. Call",3217,"Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume V","Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:332 p.",1990,"Geiger,D.L., L.T. Brooke, and D.J. Call (1990). Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume V. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI, 332 p. ECOREF#:3217",-0.6536470255493614
